"Indicator","Category","Units","1990-01","1990-02","1990-03","1990-04","1990-05","1990-06","1990-07","1990-08","1990-09","1990-10","1990-11","1990-12","1991-01","1991-02","1991-03","1991-04","1991-05","1991-06","1991-07","1991-08","1991-09","1991-10","1991-11","1991-12","1992-01","1992-02","1992-03","1992-04","1992-05","1992-06","1992-07","1992-08","1992-09","1992-10","1992-11","1992-12","1993-01","1993-02","1993-03","1993-04","1993-05","1993-06","1993-07","1993-08","1993-09","1993-10","1993-11","1993-12","1994-01","1994-02","1994-03","1994-04","1994-05","1994-06","1994-07","1994-08","1994-09","1994-10","1994-11","1994-12","1995-01","1995-02","1995-03","1995-04","1995-05","1995-06","1995-07","1995-08","1995-09","1995-10","1995-11","1995-12","1996-01","1996-02","1996-03","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02"
"Occupancy","Statewide- All","percent","80.5","88.5","82.6","76.7","75.3","74.6","81.5","85.9","75.6","77.2","77.9","67.9","72.2","67.4","65.0","69.5","68.4","74.1","78.8","83.9","76.4","72.3","74.6","70.7","74.1","80.7","71.1","68.7","68.8","68.2","72.0","77.9","76.7","76.0","77.7","71.9","75.2","78.4","72.3","67.5","67.5","68.8","72.0","79.8","69.6","71.8","72.6","73.0","73.2","86.6","82.8","72.3","71.2","74.7","77.1","83.6","76.6","74.4","76.7","73.2","77.2","83.5","77.9","68.7","68.3","73.8","78.7","82.7","76.3","75.6","76.5","73.2","78.1","88.5","79.0","71.8","69.2","76.0","77.5","80.8","73.0","71.9","70.3","67.8","74.5","84.9","79.1","73.8","68.3","70.3","75.0","78.1","73.3","71.8","71.5","66.4","74.0","82.6","75.6","70.4","66.6","69.1","73.5","75.2","69.9","71.2","68.6","63.4","71.8","83.2","76.0","68.8","65.1","69.1","74.9","77.1","72.9","73.8","71.6","60.8","69.3","86.1","82.2","74.1","72.4","79.2","81.2","79.6","74.8","76.1","75.3","67.8","76.3","88.0","78.5","69.4","67.2","71.8","76.0","78.1","56.7","56.9","57.5","57.2","64.8","77.4","72.5","64.9","65.9","72.3","75.0","78.3","65.0","69.1","66.4","66.7","71.2","78.4","73.6","66.4","64.4","70.4","79.1","82.9","70.2","71.7","69.4","72.9","76.3","83.5","80.8","74.2","72.4","80.3","86.2","83.7","74.9","76.9","71.9","71.1","80.6","86.0","84.9","75.2","76.8","83.2","88.3","85.9","79.0","79.5","75.9","76.5","80.7","87.3","82.8","77.0","75.5","82.1","86.7","83.9","76.9","75.3","74.7","72.2","74.1","80.2","78.2","70.9","69.1","76.1","80.7","81.0","74.2","73.6","72.0","70.4","75.7","83.5","77.3","69.2","68.4","68.9","74.1","74.4","63.0","67.1","63.5","60.8","63.1","72.3","65.2","62.8","61.0","61.8","68.8","69.4","63.6","66.4","61.1","62.9","66.4","75.6","70.4","65.3","65.3","71.4","79.4","75.7","70.6","70.9","67.6","69.9","74.1","81.4","74.7","68.6","66.6","70.5","76.1","77.3","74.5","72.4","70.6","72.8","79.0","83.2","78.9","72.3","72.8","76.3","81.8","81.2","73.7","74.4","74.0","75.0","81.0","85.7","79.5","74.7","72.1","75.8","79.1","80.6","73.7","72.9","71.3","72.6","79.5","84.8","78.6","72.6","72.8","76.5","81.2","78.8","76.0","76.7","73.0","74.5","77.3","82.8","79.9","74.8","76.4","81.8","81.2","80.5","76.4","78.2","76.1","78.9","80.3","83.4","78.9","76.8","75.8","80.0","82.6","80.4","78.5","78.5","75.5","78.9","81.3","83.7","79.0","77.7","78.0","82.5","84.8","81.1","78.4","78.8","78.4","78.7","81.7","85.6","81.7","80.5","79.5","82.0","83.8","78.3","76.9","76.4","75.8","75.8","79.5","83.4","79.6","78.4","79.2","84.1","85.2","84.3","78.2","79.1","78.8","80.2","84.1","84.7","44.5","8.9","14.2","15.6","20.9","21.7","19.6","19.7","22.1","23.8","23.3","30.5"
"Avg daily rate","Statewide- All","dollar","117.47","113.31","107.42","102.08","96.11","96.48","95.69","99.99","91.61","97.01","99.45","106.19","116.27","108.63","107.80","99.04","96.06","95.90","99.71","100.75","91.42","94.55","96.45","107.44","114.98","112.60","109.80","105.10","99.47","101.74","101.13","105.74","97.43","97.58","101.03","107.61","110.72","111.12","108.22","104.02","101.69","101.19","101.46","104.40","96.73","96.35","97.32","104.08","106.22","107.69","108.67","106.36","103.06","100.40","101.40","107.80","101.47","102.93","102.39","110.99","115.08","111.93","111.86","109.15","107.18","105.59","107.27","109.08","103.41","107.73","107.16","116.83","121.76","122.71","120.04","115.47","109.89","112.21","112.83","116.73","110.80","112.44","111.64","127.55","130.27","130.33","130.97","124.25","118.39","120.82","123.27","128.22","118.58","117.81","117.70","135.08","135.36","136.21","135.98","131.06","123.01","124.16","126.29","131.62","119.95","121.74","117.96","140.56","133.43","134.55","134.55","132.17","125.37","125.96","130.31","134.44","123.28","127.61","125.31","152.03","145.61","144.68","145.71","142.63","135.68","134.57","141.20","144.34","130.75","132.87","135.05","153.88","150.53","153.23","150.62","151.25","140.90","142.57","148.58","153.03","129.06","131.58","128.54","149.30","141.39","143.76","147.61","144.18","132.96","137.42","143.73","148.54","129.36","132.16","129.83","152.51","149.90","148.68","150.65","148.94","137.22","142.45","147.43","150.59","134.41","135.01","134.52","157.52","150.74","152.06","154.64","153.59","142.34","150.64","159.17","160.72","139.17","142.07","143.41","168.92","159.72","166.27","169.97","158.70","152.48","163.74","174.89","179.80","156.37","159.67","165.13","189.98","181.51","190.55","187.87","188.47","174.90","187.58","201.21","202.12","169.66","169.77","174.88","209.08","200.50","203.30","201.93","199.51","186.93","201.52","213.25","213.22","181.71","183.74","185.75","224.16","213.82","213.62","218.21","197.55","190.11","206.26","211.16","211.47","178.43","177.67","177.80","214.28","197.41","188.19","182.83","179.69","165.61","172.24","176.87","178.22","160.41","164.63","162.46","196.02","176.88","174.99","173.76","176.29","160.44","170.16","181.19","181.80","160.50","163.97","169.71","204.72","190.65","192.65","190.34","191.21","175.91","186.20","197.37","194.76","172.62","176.13","185.90","220.12","207.53","206.28","205.08","203.57","189.39","202.15","216.17","215.96","187.18","190.31","195.01","236.21","233.84","235.96","237.15","221.51","210.41","228.38","245.17","243.33","209.97","211.54","211.32","265.56","248.74","245.51","236.99","227.65","210.82","227.78","247.54","242.93","212.13","217.27","218.44","280.20","254.31","254.37","248.25","236.18","224.06","245.17","260.45","251.90","218.01","222.42","226.40","288.01","256.99","261.53","257.61","239.99","228.84","253.34","273.66","264.72","235.55","232.41","239.10","308.98","281.38","272.14","267.58","258.65","241.45","262.96","281.87","269.80","231.30","240.61","242.75","319.25","295.16","293.98","288.65","269.45","256.07","277.13","295.55","281.54","241.72","249.10","250.98","332.33","298.85","289.92","284.90","274.80","256.01","280.43","304.73","289.75","247.17","253.29","259.78","352.12","314.27","310.31","279.90","131.16","126.72","161.51","174.03","157.94","148.80","174.12","229.61","291.01","251.30","258.77"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
